,review_title,overall_review,pros,cons,ownership_pariod,date,rating_stars,year,month,day
1320,love these,,fast easy to use i love the speed boost these give when swapping them for an spinny drive samsung just makes good stuff,none yet,year,2015-12-06 20:46:05,5,2015,12,6
1321,great drive but horrid software,since i m an advanced user it might have helped if i had some advanced options for drive migration also not all usb to sata connectors will recognize this drive so some additional hard war purchases may be necessary since it is a 2 5 drive you will need to buy a mounting bracket for 3 25 5 drive bays on desktop systems,excellent performance for gaming provides short load times for multiple highly demanding games load screens lasted a fraction of the time they usually do all application and os load times get reduced to barley noticeable times,the software for migration is an absolute knight mare to use when something has gone wrong it dose not like to have multiple partition drives with multiple formats if your good with other clone software you would be better off using that trying to use the provided migration software was more of a head ache than it needed to be what i needed it to do was just a migration of the boot sectors and c of a windows install on a 1 tb drive even when everything was set up the way the software said i should have it the cloning would stall at 99 complete all of the time when it finished no data was on my drive it would not matter how much data was to be cloned tried with a vanilla win 10 install for no luck kind of ironic since it was all for a samsung laptop,month,2015-12-06 20:10:58,4,2015,12,6
1322,less perform than 840 evo pro,i buy the 500 gb samsung 850 evo for clone my 840 evo for having the same size match with acronis,great price and good value for a 500gb ssd,after install it i find that the 500 gb 850 evo model are significant less on write performance comparing to my 500 gb 840 evo specialy on the write iops value by using samsung magician software by trying a few time the performances benchmark approximative results was read write 500 gb 840evo 553 533 55992 46302 iops system256 gb 840pro 555 495 54120 30846 iops500gb 850evo 549 519 53714 19791 iops and this with the same os cloned from my 840evo this results can varie but by less than 20000 iops that s much i think samsung will have to update the firmware like have do with the 840 serie version i can t explain that,week,2015-12-06 15:41:27,4,2015,12,6
1323,only buy as a throwaway,just buy the off brands for 40 the benchmarks on one muskin 120 just tested by me had 500mbs and 230mbs read writes i would test the samsung but its a brick,everybody touts the samsungs as the best well they are very good at what they do but no one can tell you what to do if you need to re use them to make them work in another machine 157 paperweight when 40 120gb by someone else works just as good,the rma and support is the worst of all ssd makers and least available info for the process its been 3 weeks since i called them and waiting for an email with instructions on where to return it i was using this 500 gb in my girlfriends laptop trying to save it for her because she is slow learner on computers still using vista finally got tired of hearing about it so i bought her a new one trying to salvage the ssd i tried many things to no avail it is not readable as a drive in any other computer what good is a 3 10 year warranty if you can t get it,year,2015-12-06 13:23:55,1,2015,12,6
1324,great product,,been running this for four months now it s operating flawlessly and fast will get another one when i decide to add more space,none so far,year,2015-12-06 12:11:44,5,2015,12,6
1325,,,price and speed my gaming rig boots in less than 10 seconds no game slow downs read speeds are great able to load photo software and multiple layered photos fast,none so far,year,2015-12-06 09:47:35,5,2015,12,6
1326,first purchase on newegg,awesome first experience with newegg using super eggsaver very quick,great shipping time awesome condition on arrival great first experience,still mg1 in csgo pls carry me,week,2015-12-05 21:18:52,5,2015,12,5
1327,,if i could give it 4 5 i would wish it had a cable instructions were focused on cloning and replacing my current drive and require a 3rd party adapter for that when i wanted to keep both plenty of sources available online for doing it without,fast went from 40 second load times on fallout 4 to under 10 seconds good size,no cables brackets or screws my case came with the bracket and screws so it wasn t a big deal i didnt find the software or instructions useful no sata cable included had to use the one going to my disk drive to be fair i havent used it since i installed window a year ago all of that is stated before buying would just be nice to have,week,2015-12-05 05:37:32,4,2015,12,5
1328,just what i needed,i got a 120ssd a few years ago when ssd s were just becoming stable and popular i use d it for my os but even then it filled up fast i was super happy with restart times 17 seconds and performance i jumped into a 250 to put my games on and now load games before my friends even connect the ssd to ssd xfer is insane copying files from one to the other is blazing fast 20 gigs in 1 minute,fast efficient works like a charm just plug and play especially if it s your second ssd by samsung installing it took all of 3 minutes,it s not a terrabyte drive,week,2015-12-04 20:40:09,5,2015,12,4
1329,great hard drive,bought this because my work laptop has been running a samsung ssd for about a year and half with no problems,nothing to complain about,non that i m aware of yet,week,2015-12-04 14:44:49,5,2015,12,4
1330,no screws,,works out of the box so far easy install,no mounting screws after consulting five forum threads i can say good luck figuring which ones fit,day,2015-12-04 12:48:19,4,2015,12,4
1331,buy it,i don t know why i didn t buy one of these sooner cold boot is so fast now and right to getting to work or games,fast easy install works,none,month,2015-12-04 09:03:35,5,2015,12,4
1332,ssd data migration,more work needs to be put into the migration software that gives you more options as to what you are going to migrate and what you are not,super fast i used to have to wait for more than 3 minutes for everything to load on my desktop now desktop is fully loaded and awaiting commands within 20 seconds i was skeptical about what results to expect but i am definitely impressed it came with software to measure the speeds of this ssd and and others in your computer,my only gripe is the migration software which i hear is standard with all brands if your old c drive hdd that you want to replace is more than the capacity of the new ssd you must chose from music pictures video and other stuff to trim the size down only problem is i could not remove enough of those items to create enough space to do a successful migration so i searched the web and ended up using rufus to create a bootable o s and it worked like a charm within 10 minutes,week,2015-12-04 06:58:56,4,2015,12,4
1333,received doa,,none never worked,arrived doa but didn t open the box to use until after 30 days of receiving so no return either,year,2015-12-04 05:03:08,1,2015,12,4
1334,one of the good ones,,amazingly fast good size and good price,sticker on box took more than 1 millisecond to open did not instantly arrive my socks are still in the washer i don t think it can do laundry very well,week,2015-12-03 18:54:13,5,2015,12,3
1335,it works really well,,works well no faults,none,month,2015-12-03 17:45:11,5,2015,12,3
1336,lighting fast,,this thing is fast and got on an awesome price,none,year,2015-12-03 17:40:05,5,2015,12,3
1337,samsung reliability,,fast and more reliable compared to hddsgreat price and warranty,not an m 2 so it requires cables,year,2015-12-03 17:18:06,5,2015,12,3
1338,missing hardware,,its an ssd and it is fast with large storage,does not even come with the necessary mounting equipment such as a sata 3 sable or the 2 5 mounting bracket for a desktop,day,2015-12-03 14:50:46,3,2015,12,3
1339,delivered on time and best price for the ssd,,at the price it s the best ssd drive you can get,none so far,week,2015-12-03 12:27:20,5,2015,12,3
1340,fast,,i replaced hdd of old refurbish desktop i recently bought the speed before and after installing this ssd is dramatically different installing was very easy i just had to follow the picture instruction shown on the manual i did not have the sata to usb cable i used the extra port inside of desktop for replacing process it worked just fine,the price for black friday was actually the price for everyday there is no difference so i feel like i was cheated,week,2015-12-03 11:45:18,5,2015,12,3
1341,samsung ssd 850 evo 250tb,ordered this late black friday night and got it today very fast for ground from ontario to nl also got the byecc bracket 35225 2 5 hdd ssd mounting kit for 3 5 drivebay fits perfect i recommend this ssd drive,i cloned my os drive 350gb 90gb of os data to this one and only took 20 mins with samsung data migration very simple procedure everything is working awesome so far and the ssd is very quick to boot to windows 10 opening applications and browser and browsing is very snappy compared to my sata hdd very pleased,none,day,2015-12-03 11:31:06,5,2015,12,3
1342,slow,,the guy i spoke with on the phone was very polite and helpful,i ordered this product on 11 27 2015 and did not get a tracking number until i called to do so now i found out that after a week of waiting and wondering that it was not scheduled to be delivered for another 3 days maybe i am just spoiled by newegg and other retailers but this long of a wait is ridiculous,day,2015-12-03 11:21:56,1,2015,12,3
1343,samsung 850 evo,my rigmobo gigabyte z97m ds3hcpu i7 4790k 4ghzcooler artic freezer pro 7 rev 2gpu evga gtx 960 2gb ftwssd samsung 850 evo 250gb os win 8 1 64bithdd wd black 7200rpm 3tbpsu corsair cx430m maybe mx the full modular one case apevia x qpack3,bought from mobile deal email with promo code got for 77 fast like 5 7 sec from cold boot to windows 5yr warranty,none,month,2015-12-03 11:21:40,5,2015,12,3
1344,therapy for your pc,after all the problems that 840 evos supposedly had i was weary about purchasing this drive will update should any problem come up,excellent excellent drive after installing it to 5 year old sony vaio it made my laptop purr like a cheetah that just finished physical therapy one cannot go back to hdd after working with ssd especially in laptops,i care nothing for the game bundle this drive came with,month,2015-12-03 10:21:24,4,2015,12,3
1345,i got what i needed,install was easy samsung s data migration worked easily and fast no windows authentication issues when installing this along with two sticks of ram,worked perfectly,none so far,week,2015-12-03 10:07:19,5,2015,12,3
1346,frequent lock ups,newegg very quick to process rma hats off,fast to load and benched well in ahci had no issues and fast when worked,froze up from day one and slow locked up froze up what ever you want to call buy the 840 evo mz 7te250bw 2 5 250gb sata 6gb instead spend the extra money,month,2015-12-03 07:53:08,1,2015,12,3
1347,one word fast,149 99 was the black friday deal that is still a good amount of coin to spend on a hard drive i wish these would come down a little more on the price another thing i noticed is that these do not come with a sata cable or a tray to mount your drive in your desktop if you have a custom built pc that is within 5 years old you will most likely have a tray that fits these ssd drives mine luckily did i did not have to buy one i also had a few sata cables laying around that i always keep on hand but for some of you that may be a different story if you buy this drive and do not have any spare sata cables laying around be sure to add one to your order along with this drive so that when you receive your drive and open the box you are not disappointed when you do not see a sata cable and realize you cannot do the swap till you get a cable for 149 99 sale price it should come with a sata cable that was a sale price retail is over 200 come on samsung at least put a cable in the box it s a 1 part i like samsung products but thought that was a little cheap on their end to not include one,the samsung data transfer software was pretty nice it allows you to clone your main drive to the ssd i didn t use that method though to clone my main disk i used another type of software to clone the primary partition to the ssd this was my first ssd i just never took the plunge because of their high prices you get what you pay for sure i could ve bought a 40 ssd but how long would ve that lasted me i read a lot of great reviews about the samsung pro evo model ssd s and saw the deal for black friday i couldn t refuse i did some research and compared some other brand name ssd s vs this samsung 850 evo this by far was one of the better ones on the market the read write and sequential write speeds surpassed 90 of the ssd s that are on the market my computer used to take about 1 minute to boot up from start now it takes 14 seconds to get to the main desktop it s insane on how fast everything is,none that i can see,week,2015-12-03 01:23:41,5,2015,12,3
1348,impressive upgrade even for a previous 830 owner,buy it if you can afford it and have the board for it go samsung 950 m 2,as stated in my review title i m a previous long time owner of the samsung 830 128gb which i loved however when i saw a sale for this item i couldn t pass up a newer version with more space i did a clean install with this drive for windows 7 and had absolutely no issues on my either my test board z170 or old z68 rig besides the sale being the reason for getting this when viewing the comparison on ssd userbenchmark com i couldn t help but get excited at a potential 51 increase over the samsung 830 my previous 830 128gb in bench test showed the following sequential testread 509 mb swrite 264 mb smixed 263 mb srandom 4k test4k read 23 1 mb s4k write 61 9 mb s4k mixed 19 6 mb sdeep queue 4k testdq read 243 mb sdq write 77 8 mb sdq mixed 56 7 mb sthe new samsung 850 evo showed the following in bench tests sequential testread 518 mb s 1 76 increase write 431 mb s 63 25 increase mixed 389 mb s 47 90 increase random 4k test4k read 42 2 mb s 82 68 increase 4k write 90 2 mb s 45 71 increase 4k mixed 41 2 mb s 110 20 increase deep queue 4k testdq read 267 mb s 9 87 increase dq write 189 mb s 142 93 increase dq mixed 110 mb s 94 increase those increases speak for themselves on justifying the upgrade while my personal comparison above is across two different size drives 850 250gb vs 830 128gb i m not overly concerned with the amount of skew that offers in the results this is evident when looking at other people s benches of 120gb 850 evos vs 128gb 830s,there are none my samsung 830 lasted for 3 years i expect great things from this ssd as well,year,2015-12-02 08:49:07,4,2015,12,2
1349,solid,high recommend this drive especially if you re coming from an hdd or an older ssd,very fast drive even by ssd standards this drive replaced a 4 year old ocz agility 3 drive that was working fine but had been getting progressively slower over the last 6 months or so benchmarked the ocz drive and this drive the samsung posted nearly 2 5x seq read and 3x seq write and 4 5x random read write this was done with samsung s rapid mode turned off on the rapid mode feature though the benchmarks with it turned on are incredible i honestly did not notice any appreciable real world difference to leave this turned on so i turned it back off this is more due to how fast the drive is by default not a knock on the rapid mode feature can t forget that sweet samsung 5 year warranty hope i never have to use it but the peace of mind is nice major props to samsung for offering this to their users,none so far,week,2015-12-01 19:25:59,5,2015,12,1
1350,,,fast speedgood price,no,month,2015-12-01 17:26:59,5,2015,12,1
1351,sick disk brah,it should be enough for the ridiculously huge install sizes of 2016 s games,this drive is big fast and priced right especially on black friday build quality is higher than the typical ssd what they say in the reviews is all true,no 3 5 adapter seems like a cost cutting measure which i m all for but i would ve preferred no useless documentation cd and a purrty adapter instead,week,2015-12-01 13:53:24,5,2015,12,1
1352,great value,i have no idea about long term reliability between intel and samsung ssds time will tell if this drive performs equal to or better than my 730s than it s more than a bargain at this price until proven otherwise i will stick with the evo ssds,i was a loyal intel 730 series ssd fan for over 2 years i never even considered another brand even when i found tech stats that prove it s not the fastest so this black friday i switched to the samsung evo primarily because of pricing so far it fired up quickly when booting for the first time into bios on my new rig i look forward to testing it vs my other rigs with intel ssds samsung did a good job on this one i highly recommend this for your boot or data drives,none so far it s humming along,year,2015-12-01 12:59:38,5,2015,12,1
1353,cool ssd,when installing it look at your motherboard sata order,using it for windows 8 steam and games i actually play alot i don t had problem installing it very good ssd,none,year,2015-12-01 11:14:47,5,2015,12,1
1354,it stores things and is fast,i got this drive on sale but it s well worth the full price in my opinion,setup was easy i didn t use the data migration software as i wanted a fresh install i installed the os and a few games on the drive and have a hdd to store other data and programs coming from an old 5900rpm hdd button press to in game went from about 8 minutes to 30 seconds bios takes longer to post than windows does to boot,it doesn t make me pancakes,month,2015-12-01 06:18:12,5,2015,12,1
1355,great buy,this drive replaces a 2 year old 120gb ocz vertex 4 speed is the same or better thus far i bought it to double my capacity as the ol drive is still working fine and got it in sale to boot super satisfied with my purchase unlike the other item i bought in the same order,awesome speed easy setup,none so far,week,2015-11-30 17:31:58,5,2015,11,30
1356,unfortunately it failed after a week,i don t have any prior experience with samsung but hopefully this is just a fluke i will update my review if i can return this and get a replacement,good price for a 500tb ssd,i formatted the hard drive and installed os x yosemite onto it and then installed it into my old 2011 macbook pro it worked for about a week but then one day as i was opening photoshop the computer died and rebooted into a gray screen of death i tried several different things to get it working but it wouldn t boot fully so i formatted the drive again and installed os x yosemite again it worked for a few minutes and then it started rebooting whenever i tried to open an app finally it died completely again it s definitely the hard drive because if i put the old hard drive back into the computer everything works fine again,year,2015-11-30 17:01:50,1,2015,11,30
1357,great upgrade easy install just need,now i have plenty of room for more games music,great upgrade and a simple install 4 screws hardest part who can mess that up,if you don t have a disk drive download the software and make sure you have a sata 2 5 to usb adapter still not a con and such a easy install,week,2015-11-30 15:46:25,5,2015,11,30
1358,fast and big enough,get it while its hot,this is faster or just as fast as the ssd pro series i ran the benchmark and this was as fast as the 850 pro however my 840 evo is faster than my 850 pro,none,week,2015-11-30 11:36:57,5,2015,11,30
1359,fast easy reliable,,great drive fastest 250gb sata ssd available boots in seconds blows away disk drives but then again so will pretty much any ssd software included is higher quality than most the 950 pro has better benchmarks but real world performance gains are marginal and not worth the price this is still the best drive for most pcs,not that it s this product s fault but intel s 3d xpoint ssds will come out in the near future and make these things look like tape drives,year,2015-11-29 18:40:19,5,2015,11,29
1360,great ssd,you re buying the drive only so no cable the software that came with it was outdated but you can get the latest online it did not corrupt or give my system a virus i find it hard to believe that would happen overall another great product from samsung,super fast ssd rapid mode is insane install was a breezed into a cheapo asus laptop,item was not free it came in frozen state and not detected i used samsung utility to erase and all was fine,month,2015-11-29 13:22:55,5,2015,11,29
1361,awesome ssd,,super fast ssd low power and easy installed windows 10 in 5 minutes took 15 minuter for all of the updates,to fast,year,2015-11-29 11:19:57,5,2015,11,29
1362,yay,got it on sale can t complain plugged it in very fast,plug in and you re good to go fast,none other than price,week,2015-11-29 10:53:50,5,2015,11,29
1363,good upgrade for t520,great hard drive bought on sale to upgrade t520 laptop hdd,great ssd for t520 upgrade comes with samsung data migration software to clone win 7 partition easily fast transfers,samsung data migration software can only be used with samsung drives,year,2015-11-29 09:34:02,4,2015,11,29
1364,ssd upgrade,,easy install waaaay faster than my old hdd fair price,none so far,year,2015-11-29 08:10:06,5,2015,11,29
1365,fast and awesome,i use the free macrium reflect with an external drive to image the old drive boot to recovery environment and restore the image to the new drive i also then back them up after initial boot with the new ssd thus far it s always worked great the computer doesn t have any trouble on first boot,i ve gotten three of these for my self as well as family friends they are consistently fast and definitely recommended especially for the price now,not magic,years,2015-11-28 12:25:03,5,2015,11,28
1366,glad i purchased this,i have this for my bios and demanding games coupled with a few 1 5tb disk drives my computer start up is amazing even the games start up super fast,wow just wow never owned a ssd in my life i have no experience with other ssds but i d wager that this drive itself is one of the best comes with a program that records how much data it writes to keep an eye on that warranty among other things,none,year,2015-11-27 20:41:09,5,2015,11,27
1367,pleased overall,this drive was purchased to make a new cheapy hp laptop with only 4 gigs of ram run faster and run faster it did i may not bump the memory to 8 gigs as it ll just be too fast grin but note that samsung s data migration software will not copy your recovery partition so you ll have to make other arrangements in order to be able to reload windows from scratch in the future and if your upgrading from w7 to w10 as i did you ll need to do the upgrade before migration because w10 balked at the upgrade when it saw the evo didn t contain the recovery partition went back and did the upgrade to w10 on the spinning drive which retained the recovery partition and then migrated everything to the evo and it all worked but only the boot partition migrates,replaced spinning drive in new laptop and install went pretty much flawlessly see other thoughts samsung software cd included migration tool and magician but downloading same from samsung s website yielded newer versions,prices on this particular model jump around daily sometimes as much as 20 so watch for awhile or you ll pay too much,month,2015-11-27 19:58:10,5,2015,11,27
1368,samsung 850 evo 2 5 250gb ssd,,i bought this one on march 28 2015 and installed in april 2015 it lasted me about 6 months then couple of weeks ago it diedmr gilbert revira has taken care of exchange warranty after couple of emails and details i hope this time he sends me a good one today i also ordered 2 other brands1 kingston 120gb 2 toshiba 240gbi will compare how these 2 brands workouti have 3 4 computers at homeregular family environment kids use for browsing school work and little bit chattingno gamingwill post again after few months of in home use experienceraazi,it failed in 6 months,year,2015-11-27 19:51:53,1,2015,11,27
1369,,would buy again,works as advertised good deal with free game code easy to transfer data to drive from other ssd using included software,none,month,2015-11-27 14:17:20,5,2015,11,27
1370,fast reliable works well,,works as advertised fast sleek great performance,none,month,2015-11-27 13:14:32,5,2015,11,27
1371,amazing drives,these drives are great for the buck unless you need for some reason the pro versions then go with those otherwise these are just amazing had the 830 840 and now these as well this one will be going into 3 0 external drive and mostly be done with reading the large files and rare writing i am waiting on 3 1 external enclosures with usb c connector speed tests very based on your mobo chipset but are pretty close no need to post quick google will reveal what you will get from reading online these drives will last the avg user quite a while so the pro is there for those above avg writes and for extra speed which avg user will not see benefits in regular usage,great speedsgreat price,not pro dont think there are any,month,2015-11-27 00:28:55,5,2015,11,27
1372,,,cold start windows 7 ult in 28 seconds runs games like gtav super smooth love it,none so far,year,2015-11-26 18:12:55,5,2015,11,26
1373,cloning could be better,i ve had the same ssd and had no problems difference was it was a clean install i m salty as hell because i bought this ssd for fallout 4 played for 70 hrs and now my gamesaves are gone i m stuck with a dead comp if you re buying this for the cloning software i d suggest you think again just do a clean install,wasn t doa and seemed to work fine at first,the cloning software didn t clone my antivirus correctly or it corrupted the files i went a week with it disabled not working until i noticed i got a nasty virus that wouldn t let me install any anti viruses and mine wouldn t launch another week passes and now i have to reformat because windows won t boot in safe mood or in any way,year,2015-11-26 16:40:55,2,2015,11,26
1374,runs quick at first be warned,just have them as a single drive no raid or clone them alot have a western digital 10k raptor cloned as a backup,run fast out of the gate do not fill these 250 gig models past gigs or clone them like crazy they will degrade in speed,do not fill these 250 gig models past gigs or clone them like crazy they will degrade in speed,year,2015-11-26 10:04:16,3,2015,11,26
1375,first ssd,,i was able to install windows 10 in 5 minutes and had all of the updates done in the first 20 minutes my boot time went from 3 minutes to 18 seconds it is the best thing i have purchased from newegg,none so far,month,2015-11-25 07:12:06,5,2015,11,25
1376,woaaaahh,use better partners to provide a fully functional transfer it shouldn t have required me googling to find another program do the job of your software,took me from 3min boot to 20sec boot time i ve given new life to my laptop it s convinced me to replace my desktop hdd as well,software included was outdated didn t work well with win10 the updated bundled drive cloner wouldn t allow me to clone a drive other than the active c drive this is easily remedied by using a different program however it shouldn t have required the extra work,month,2015-11-24 18:22:54,4,2015,11,24
1377,second time buying and no regret,10 10 would buy again,i owned a evo 850 ssd before and very happy with it didnt even think when purchasing this one and it does what it says in the describtion boot my machine in 3s load data or game superfast,none,month,2015-11-24 16:18:29,5,2015,11,24
1378,,ssd s make desktop user experience infinitely better if you re on the fence do it,boot times always 10 seconds good r w speeds and very reliable,never had an issue before,year,2015-11-24 11:40:01,5,2015,11,24
1379,breathing life into an 3rd gen i5,i was able to play a few games that previously pegged the hd at 100 utilization continuously now they use about 1 2 of the ssd capabilities finally the cpu can be the bottleneck,takes a middling performer laptop and turns it into a burner i used the included tools to migrate from a 5400rpm 256gb drive to this 256gb ssd worked fine after i upgraded to the latest version easy to install easy to migratefast as blazes,software on the included cd was out of date by a full version the migrate tool did not work i downloaded the latest from samsung and it worked fine,month,2015-11-24 10:03:55,5,2015,11,24
1380,excellent ssd,,the ssd arrived in good order well and attractively packaged included software made quick work of cloning the old drive it appears to be fact and reliable,to this point there have been no issues with the ssd,month,2015-11-24 09:50:07,5,2015,11,24
1381,worked like a charm,,i dropped this in and setup windows 10 on it with no issues i will buy more of these for my other computers for sure,none,year,2015-11-24 07:46:33,5,2015,11,24
1382,good hd replacement,just the thing to give my old laptop new life,faster seek than the original hd,a little more expensive than a standard hd,month,2015-11-23 20:17:57,5,2015,11,23
1383,super fast,,super fast ssd low power and easy install,n a,month,2015-11-22 12:59:01,5,2015,11,22
1384,dependable,,love these purchased 2 of them for raid use on an intel board very fast lots of capacity this is my 2nd generation purchase of samsung ssds and i m satisfied with every one i ve purchased,price the price is comparable to other brands but i wish they were more inexpensive overall,year,2015-11-21 19:58:29,5,2015,11,21
1385,super fast performance,,to say my pc boots fast now is an understatement i went from a 2009 western digital hard drive to this and i m not looking back it loads games pictures and videos super fast,files load too fast,month,2015-11-21 19:06:28,5,2015,11,21
1386,,one of the biggest quality of life upgrades you can get although this probably applies to ssds in general,on my old hdd i could take a deuce wash my hands and change my clothes in the time it took to fire up my pc and get my web browser going now i fire up my pc and it s ready to go in less than the time it takes to hang up my jacket,none,month,2015-11-21 12:56:51,5,2015,11,21
1387,,always update all your bios chipsets use magician software to set a higher over provisionning and os optimisation do not even bother with the instructions this is extremely simple to install plug transfer and play,performance 5 year warranty samsung magician software easy to install and clone os 250 gb for 99 don t let the other reviews about this not being a plug and play discourage you this took me 15 mins to install using data migration software i literally just plugged it into my motherboard update your bios booted cloned os drive interchanged sata3 connections of os drive into ssd and voila running 520 read 485 write avg 70 000 randoms benchmark boots up win7 64bit with a good load of applications in less than 30 secs from power up to operation desktop,very poor bundle no cables no 2 5 to 3 5 adapter just the bare drive instructions are outdated and useless instructions want you to use material not provided with the drive when you don t need it minus 1 egg for the outdated package from samsung they give you instructions from an old bundle kit that is outdated this leads to many people wasting their time and money,week,2015-11-21 06:47:12,4,2015,11,21
1388,850evo,wrote this review soon after install had everything set up so far so good performance is just wow,boots my mac os x el capitan under 20 seconds very fastfresh install of os x lion from online recovery under 1 hour and had os x el capitan installed by the 2nd hour only because my internet is not that fast but the hard drive is fast you wont be disappointed,none so far,day,2015-11-20 23:52:01,5,2015,11,20
1389,update still crashing and freezing,bad experience with first ssd sucks,it s nice when the computer works for more than an hour w o freezing,going to see what i can do to get a new one definitely the ssd since it runs fine on my hdd,month,2015-11-20 22:01:38,1,2015,11,20
1390,good product,,fast easy to mirage from old hd 750gb to this hd 250gb clone software can be download from samsung com,none,month,2015-11-20 09:02:11,5,2015,11,20
1391,1tb ssd samsung,this is my 2nd samsung ssd upgraded from 256gb 840 evowish games would stop filling up ssd so fast,got on sale works great and 1tb of storagelooks nice and cleanworked right out of box,didn t come in as nice of a box as my 840 evo,week,2015-11-20 04:45:20,5,2015,11,20
1392,doubly disappointed,this is not my first party but it is the first time i ve had two identical drives turn out doa like this it makes me fear for the durability longevity of the 500gb 850 evo i have installed in my laptop so far it s been perking along without a hitch but now i half expect it to fail while i m still in the middle of writing this a similar sized drive of another brand is so far working reliably in my wife s laptop to anyone from samsung who may actually read this que pasa could an agent from the north have slipped across the border and infiltrated sabotaged your company could you have all or part of a batch that slipped through qc in spite of having problems hint it would cost less to recall the entire batch than to lose business to ill will resulting from apparent reliance on end users to do field testing a great pity this because i ve always liked samsung products now however it s fool me once shame on you fool me twice shame on me fool me three times sorry but that s not about to happen even i am capable of learning,this covers two 2 drives the original purchase and its replacement both original and replacement drives arrived intact despite being packed in only padded envelopes rma process went smoothly with prepaid return ups labels one for each occurrence furnished,drive 1 could not initialize format drive tried on different machines with two different external sata cradles all equipment previously used successfully to prepare other drives for installation windows 7 disk manager returned i o error each try samsung s magician software recognized that a samsung device was connected but couldn t do a thing with it declared doa and returned for replacement drive 2 the replacement drive behaved in exactly the same way as the first another doa from samsung of all outfits returned for refund credit and bought another brand,month,2015-11-20 01:44:41,1,2015,11,20
1393,fast drive easy install,nice upgrade and boost of speed can t beat the price,great price fast speed and easy install,download of latest image transfer software required not supported by win10 unless latest software installed easiest to clone using usb 3 to sata power cable,week,2015-11-19 17:05:37,5,2015,11,19
1394,fast delivery fast ssd,,really fast delivery ordered sunday evening arrived tuesday afternoon with regular shipping it replaced an 120gb evo840 which will go into my laptop installed it put win7 on it working like a champ ever since hopefully both of this samsung drives will last a long time if not i ll report back,none whatsoever,week,2015-11-19 16:58:51,5,2015,11,19
1395,greatest upgrade so far,got it on sale and for the price i should have gotten two,super fast boot ups along with quick loading screens and faster file locations doesn t make any noise and its nice and small so it doesn t need a big chassis to fit in,haven t found any so far but could come up after this,month,2015-11-19 12:41:18,5,2015,11,19
1396,honesty,just buy something else,i wish i could list some pros,i had the drive replaced within the first month because of failure and the new drive never worked close to the performance of a standard hdd now the second drive is failing i ll have to go through samsung tech again and that isn t the most pleasant experience either and the wait is too long i would not recommend this drive at all,year,2015-11-19 09:49:09,1,2015,11,19
1397,excellent performance,,first of all ordered on friday afternoon got them on monday with regular shipping that s fast those drives are fast it took me about 10 minutes to install windows 10 from scratch on a raid 0 basis,none so far,week,2015-11-19 06:14:01,5,2015,11,19
1398,easy upgrade w samsung migration,i ll update review if i have any problems,drive seems to work great and sixty four dollars was a smoking good deal thanks newegg installation was easy to upgrade from full 64gb ssd with the samsung data migration software,n a,week,2015-11-18 17:45:31,5,2015,11,18
1399,dead drive,loved the drive when it worked,great drive fast,dead in 2 months,years,2015-11-18 16:20:58,1,2015,11,18
1400,i had to get another,,it weights like nothing probably a few quarters in your hand this things gotta be a few grams in weight this to me at first made it feel cheap don t be tricked by this it has good speeds i have a vertex 4 which is slower than this drive but weights so much more i m very happy firmware came as the latest,it doesn t come with a mount of any kind so i have it laying in my 3 5 inch drive bay by the cable which won t be a problem,week,2015-11-17 22:15:27,5,2015,11,17
1401,good ssd,all i need was a fast and reliable ssd for a good price it does the job perfectly,samsung is a well known company delivering a great product i do not have any complaints at the moment i don t really like extensively testing all my products with benchmarks so i can t offer any technical information in that respect the price is good and the performance is what i was expecting if i have any issues in the future i ll be sure to re review the product,the only con i can report is that i didn t purchase the larger ssd but that has nothing to with the product itself i didn t run many benchmarks to compare this with other products like i said earlier i just needed something to get the job done and this does it,month,2015-11-17 08:04:25,5,2015,11,17
1402,solid drive,,upgraded a mid 2012 macbook pro to the samsung evo 1tb ssd wow night and day difference this thing absolutely rips on the old hd had a lot of pinwheels and things took forever to load even with a completely fresh install get the occasional pinwheel but suspect that s related to osx and or the processor and not seeking can t comment on the difference among ssds but samsung seems to get consistently high ratings and reviews the biggest difference between the evo and pro for me is the warranty evo has a 5 year warranty pro has a 10 year they also have different controllers but suspect the marginal speed difference there is not something i ll pick up on browsing the internet or word processing,price i have no clue wait for this to go on sale and always check the newegg email promotion before checkout saved 10 on this drive,day,2015-11-17 07:00:54,5,2015,11,17
1403,decent,samsung 830 and 850evo were in the same price bracket however the quality of the drives are worlds apart it appears that samsung has packaged a generic drive in their evo series which remains the same price as the previous better samsung drives then they packaged their regular drive into the pro series and charge you double for what you used to get from them for much cheaper over 3 years samsung quality has stayed the same but the price has drastically gone up for said quality the drives are either too expensive or poorly built,good storage capacity for the price tag which is normally discounted samsung 5 year warranty samsung magician is useful to those new to ssd s or for those that don t want to do the research on how to tweak your os for a ssd,i purchased a samsung 830 back in 2012 and it was amazingly fast 3 years later i upgraded to the 850 only to get a slower drive one would think after 3 years samsung would make their drives to be faster not just larger no 3 5 adapter not many come with that so no biggie,year,2015-11-16 09:27:15,3,2015,11,16
1404,excellent all around,i ve never had any issues with these drives i ve purchased a number of them for various builds never had a doa or otherwise so i ve never actually had to deal with samsung for returns etc that being said they do what is advertised great drives certainly recommended,excellent drives for the price and a great warranty packaged well for such a small piece of hardware read write is what they said,none really,year,2015-11-16 09:18:41,5,2015,11,16
